col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31
14697,   2,36415,NORMAL , 1,N,2300000000008102,S,OPTSTK,IDEA      ,25-Apr-24  ,    14.00,CE,   240000,         ,         ,         ,N,     0.15,         ,PRO,14697     ,OPEN  ,   240000,        ,       0,Y,14697       ,09:15:00,          ,110084333234100
14697,   2,36415,NORMAL , 1,N,2300000000727837,S,OPTSTK,IDEA      ,25-Apr-24  ,    14.00,CE,   240000,         ,         ,         ,N,     0.10,         ,PRO,14697     ,OPEN  ,   240000,        ,       0,Y,14697       ,09:16:04,          ,110084333234100
14697,   2,36415,NORMAL , 1,N,2300000000008102,S,OPTSTK,IDEA      ,25-Apr-24  ,    14.00,CE,   240000,         ,         ,         ,N,     0.15,         ,PRO,14697     ,OPEN  ,   240000,        ,       0,Y,14697       ,09:16:14,OCXL      ,110084333234100
